Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1744243200000,2025-04-10,SOLUSDT,119.0,119.29,108.21,112.73,28127517.86,3187912179.8264,2633835
1744070400000,2025-04-08,SOLUSDT,106.91,112.5,102.87,105.32,38525999,4156408037.223,2828903
1743984000000,2025-04-07,SOLUSDT,105.84,113.18,95.19,106.91,75490750,7822292709.095,5633751
1743897600000,2025-04-06,SOLUSDT,120.25,121.08,103.76,105.84,35535972,3963515837.547,2580375
1743811200000,2025-04-05,SOLUSDT,122.72,122.8,117.08,120.24,13027534,1558377770.164,1080077
1743724800000,2025-04-04,SOLUSDT,117.09,123.96,113.19,122.72,36088746,4266282533.913,2976699
1743638400000,2025-04-03,SOLUSDT,117.36,120.89,112.17,117.08,29903708,3477501007.88,2421548
1743552000000,2025-04-02,SOLUSDT,126.6,136.2,117.02,117.34,34002918,4310834366.146,2864977
1743465600000,2025-04-01,SOLUSDT,124.47,130.39,123.65,126.6,21006831,2670482399.895,1664899
1743379200000,2025-03-31,SOLUSDT,124.74,127.81,122.58,124.48,22378735,2804193000.561,1700047
1743292800000,2025-03-30,SOLUSDT,124.49,127.01,122.81,124.73,13928820,1740825776.594,1109851
1743206400000,2025-03-29,SOLUSDT,129.39,130.45,122.52,124.5,18346484,2312363384.278,1346771
1743120000000,2025-03-28,SOLUSDT,138.36,138.98,127.48,129.39,22555136,2979827220.674,1663728
1743033600000,2025-03-27,SOLUSDT,137.27,140.14,135.5,138.37,16038347,2217761474.356,1337517
1742947200000,2025-03-26,SOLUSDT,143.6,145.41,135.78,137.26,20546321,2895393384.01,1532967
1742860800000,2025-03-25,SOLUSDT,140.95,147.41,138.09,143.59,23211915,3318998271.545,1696792
1742774400000,2025-03-24,SOLUSDT,132.77,144.9,131.95,140.95,25856117,3624378177.477,1914579
1742688000000,2025-03-23,SOLUSDT,128.43,133.99,128.12,132.77,11218657,1476761830.31,884686
1742601600000,2025-03-22,SOLUSDT,128.39,131.77,127.71,128.44,9696405,1255584067.207,814958
1742515200000,2025-03-21,SOLUSDT,127.53,130.38,124.74,128.38,16153936,2059132889.575,1247779
1742428800000,2025-03-20,SOLUSDT,135.3,136.08,126.56,127.53,16400296,2147459352.513,1332632
1742342400000,2025-03-19,SOLUSDT,125.25,136.06,124.14,135.3,24365586,3159831962.248,1788715
1742256000000,2025-03-18,SOLUSDT,127.92,128.1,121.66,125.25,17764133,2205642676.779,1369303
1742169600000,2025-03-17,SOLUSDT,126.05,130.56,125.44,127.93,18702871,2396631183.166,1418719
1742083200000,2025-03-16,SOLUSDT,135.8,136.68,125.11,126.05,20105042,2623667285.699,1604170
1741996800000,2025-03-15,SOLUSDT,133.48,136.47,132.36,135.79,11738984,1576852669.225,1052166
1741910400000,2025-03-14,SOLUSDT,123.32,136.07,122.89,133.49,21467520,2785703895.264,1778056
1741824000000,2025-03-13,SOLUSDT,126.54,128.79,120.66,123.32,21642285,2694723663.521,1825692
1741737600000,2025-03-12,SOLUSDT,125.27,131.26,121.16,126.55,28491735,3566589700.964,2270097
1741651200000,2025-03-11,SOLUSDT,118.27,128.36,111.83,125.28,37472663,4560385760.796,3089309
1741564800000,2025-03-10,SOLUSDT,126.42,131.5,115.43,118.26,38703346,4760102004.822,3178341
1741478400000,2025-03-09,SOLUSDT,136.93,139.79,125.37,126.42,22039157,2901135651.346,2038129
1741392000000,2025-03-08,SOLUSDT,139.31,140.99,135.19,136.92,12033588,1661095613.099,1258237
1741305600000,2025-03-07,SOLUSDT,143.22,150.86,135.0,139.31,36719254,5248705203.848,3563717
1741219200000,2025-03-06,SOLUSDT,146.17,152.85,142.32,143.22,23968768,3535617520.749,2509526
1741132800000,2025-03-05,SOLUSDT,144.69,149.66,140.12,146.16,25732247,3710961451.163,2449815
1741046400000,2025-03-04,SOLUSDT,142.05,146.8,130.52,144.7,50888782,7037997102.314,4581948
1740960000000,2025-03-03,SOLUSDT,178.64,179.44,139.19,142.05,54165734,8486931451.791,5133746
1740873600000,2025-03-02,SOLUSDT,143.57,180.0,139.96,178.64,56906128,9234334967.222,5305725
1740787200000,2025-03-01,SOLUSDT,148.1,151.15,138.5,143.58,22723905,3260327550.925,1948319
1740700800000,2025-02-28,SOLUSDT,137.6,148.69,125.52,148.1,50846289,6913128803.493,4249526
1740614400000,2025-02-27,SOLUSDT,135.28,142.8,134.61,137.6,25190372,3490909303.44,2384792
1740528000000,2025-02-26,SOLUSDT,144.25,145.16,130.54,135.27,35461521,4857935286.13,3095884
1740441600000,2025-02-25,SOLUSDT,141.73,147.0,131.72,144.24,58424968,8135265001.815,5506287
1740355200000,2025-02-24,SOLUSDT,167.84,169.58,137.16,141.73,40738410,6266379309.328,3605479
1740268800000,2025-02-23,SOLUSDT,171.99,172.99,166.32,167.84,8522631,1443069387.62,891007
1740182400000,2025-02-22,SOLUSDT,168.84,174.67,167.98,171.98,9539412,1643188678.466,1014369
1740096000000,2025-02-21,SOLUSDT,175.9,180.48,167.1,168.83,23614218,4116074682.904,2272438
1740009600000,2025-02-20,SOLUSDT,168.86,176.59,167.52,175.9,15676873,2710200220.524,1587415
1739923200000,2025-02-19,SOLUSDT,169.22,174.24,163.64,168.85,21567609,3654223014.438,2006025
1739836800000,2025-02-18,SOLUSDT,177.47,178.99,160.77,169.21,34977765,5875341774.95,3308547
