Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1744326000000,2025-04-10 23:00:00,SOLUSDT,112.59,113.0,112.24,112.73,539082.02,60732758.0614,56324
1744322400000,2025-04-10 22:00:00,SOLUSDT,112.29,113.33,112.04,112.59,707365.43,79799268.1995,65666
1744318800000,2025-04-10 21:00:00,SOLUSDT,112.76,112.82,111.83,112.29,442293.0,49686841.6,54184
1744315200000,2025-04-10 20:00:00,SOLUSDT,111.27,112.82,111.18,112.77,695731.3,77985284.5565,74490
1744311600000,2025-04-10 19:00:00,SOLUSDT,111.31,111.85,110.7,111.26,759133.29,84458314.8161,84310
1744308000000,2025-04-10 18:00:00,SOLUSDT,110.39,111.42,110.06,111.31,993361.32,110029141.7173,112123
1744304400000,2025-04-10 17:00:00,SOLUSDT,109.34,110.61,108.21,110.4,1576744.44,172545042.9102,149220
1744300800000,2025-04-10 16:00:00,SOLUSDT,109.55,110.26,108.43,109.34,2275375.16,248807651.1802,186874
1744297200000,2025-04-10 15:00:00,SOLUSDT,112.83,113.11,109.31,109.55,2731154.35,302310999.7035,223876
1744293600000,2025-04-10 14:00:00,SOLUSDT,112.7,114.53,112.35,112.84,1414877.03,160488080.7114,138558
1744290000000,2025-04-10 13:00:00,SOLUSDT,113.33,113.81,111.79,112.7,2307159.93,260319976.2638,197478
1744286400000,2025-04-10 12:00:00,SOLUSDT,113.88,116.0,112.78,113.33,2651745.26,303377207.4761,213516
1744282800000,2025-04-10 11:00:00,SOLUSDT,114.39,114.54,113.34,113.89,721479.65,82120519.0965,73167
1744279200000,2025-04-10 10:00:00,SOLUSDT,114.79,114.82,113.7,114.38,656454.35,74952802.3552,75156
1744275600000,2025-04-10 09:00:00,SOLUSDT,114.57,115.19,114.19,114.8,682562.74,78290777.6543,78169
1744272000000,2025-04-10 08:00:00,SOLUSDT,114.75,115.11,114.05,114.57,728415.88,83453123.1578,79251
1744268400000,2025-04-10 07:00:00,SOLUSDT,116.05,116.6,113.88,114.75,1368729.96,157436595.1024,115487
1744264800000,2025-04-10 06:00:00,SOLUSDT,116.09,116.91,115.89,116.04,1108543.83,129086078.8521,97766
1744261200000,2025-04-10 05:00:00,SOLUSDT,115.65,116.53,115.33,116.1,785050.89,91058631.3045,72492
1744257600000,2025-04-10 04:00:00,SOLUSDT,115.44,115.84,114.67,115.65,740171.68,85404456.2639,79045
1744254000000,2025-04-10 03:00:00,SOLUSDT,116.92,116.99,114.42,115.44,1470749.87,169937372.9196,127981
1744250400000,2025-04-10 02:00:00,SOLUSDT,116.96,117.52,116.68,116.93,487412.43,57110335.2179,62677
1744246800000,2025-04-10 01:00:00,SOLUSDT,117.52,117.98,116.54,116.97,894955.76,105011234.0058,83583
1744243200000,2025-04-10 00:00:00,SOLUSDT,119.0,119.29,116.75,117.53,1388968.29,163509686.7004,132442
1744153200000,2025-04-08 23:00:00,SOLUSDT,105.4,105.78,104.38,105.32,1115327,117370274.22,79458
1744149600000,2025-04-08 22:00:00,SOLUSDT,105.8,106.43,104.46,105.41,1341875,141510879.197,103722
1744146000000,2025-04-08 21:00:00,SOLUSDT,105.95,106.31,105.22,105.8,592275,62611399.44,49147
1744142400000,2025-04-08 20:00:00,SOLUSDT,104.03,106.15,103.6,105.94,1079614,113329600.841,89625
1744138800000,2025-04-08 19:00:00,SOLUSDT,105.68,106.06,103.37,104.02,1683079,175916822.812,145351
1744135200000,2025-04-08 18:00:00,SOLUSDT,105.08,106.89,104.49,105.68,1727822,182714742.105,139423
1744131600000,2025-04-08 17:00:00,SOLUSDT,104.28,105.77,102.87,105.08,3589531,373965442.616,250558
1744128000000,2025-04-08 16:00:00,SOLUSDT,107.12,107.24,103.59,104.27,3450705,363066815.893,224943
1744124400000,2025-04-08 15:00:00,SOLUSDT,107.77,108.45,106.61,107.13,2158671,232149292.454,154157
1744120800000,2025-04-08 14:00:00,SOLUSDT,110.09,111.17,107.52,107.76,2461734,269113256.458,192455
1744117200000,2025-04-08 13:00:00,SOLUSDT,109.9,112.14,109.36,110.1,3363651,371996317.099,223518
1744113600000,2025-04-08 12:00:00,SOLUSDT,111.49,111.87,109.34,109.91,1628505,179936952.69,121495
1744110000000,2025-04-08 11:00:00,SOLUSDT,108.75,111.75,108.6,111.48,1483195,163728864.517,111931
1744106400000,2025-04-08 10:00:00,SOLUSDT,108.39,109.59,108.17,108.75,799830,87098719.49,60447
1744102800000,2025-04-08 09:00:00,SOLUSDT,108.06,108.9,107.77,108.38,860143,93187338.37,64456
1744099200000,2025-04-08 08:00:00,SOLUSDT,108.62,108.7,107.1,108.07,1075381,115848068.59,78734
1744095600000,2025-04-08 07:00:00,SOLUSDT,108.61,109.07,107.89,108.62,1028532,111626218.09,74021
1744092000000,2025-04-08 06:00:00,SOLUSDT,110.46,110.46,108.53,108.62,1166849,127544751.768,90858
1744088400000,2025-04-08 05:00:00,SOLUSDT,111.64,111.83,110.11,110.45,936856,103705327.357,76132
1744084800000,2025-04-08 04:00:00,SOLUSDT,111.25,112.09,110.98,111.63,878523,98015516.73,70986
1744081200000,2025-04-08 03:00:00,SOLUSDT,111.23,111.72,110.41,111.25,1053691,116947009.05,77671
1744077600000,2025-04-08 02:00:00,SOLUSDT,110.93,112.5,110.6,111.23,2013474,224830028.032,137456
1744074000000,2025-04-08 01:00:00,SOLUSDT,106.96,111.32,106.59,110.94,2149334,235064953.404,138219
1744070400000,2025-04-08 00:00:00,SOLUSDT,106.91,107.67,106.56,106.96,887402,95129446.0,74140
1744066800000,2025-04-07 23:00:00,SOLUSDT,108.5,108.64,106.61,106.91,1175981,126621015.944,80127
1744063200000,2025-04-07 22:00:00,SOLUSDT,107.89,109.24,107.52,108.5,1024398,111272809.838,76526
1744059600000,2025-04-07 21:00:00,SOLUSDT,107.31,108.6,106.53,107.89,804284,86453182.6,62723
1744056000000,2025-04-07 20:00:00,SOLUSDT,105.68,107.92,105.65,107.32,833022,89164336.024,64336
1744052400000,2025-04-07 19:00:00,SOLUSDT,105.89,106.94,105.16,105.68,1049143,111197941.866,102137
1744048800000,2025-04-07 18:00:00,SOLUSDT,107.54,107.62,105.77,105.89,1810968,193168672.5,139599
1744045200000,2025-04-07 17:00:00,SOLUSDT,103.82,107.9,103.78,107.53,2392451,253762502.975,204503
1744041600000,2025-04-07 16:00:00,SOLUSDT,106.61,106.73,103.47,103.82,2484990,261313833.378,190271
1744038000000,2025-04-07 15:00:00,SOLUSDT,107.42,108.0,103.62,106.61,5148892,544990773.463,363303
